We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [>`+'&] = [`{/]: AB + CD = BEF  (r.len=3, sym=['A', 'B', 'C', 'D', 'E', 'F'], |sym|=6)
fact1 [`{-':] = [->>]: BE - CG = -AA  (r.len=2 neg, sym=['A', 'B', 'C', 'E', 'G'], |sym|=5)
fact2 [/^-/^] = [:]: FH - FH = G  (r.len=1, sym=['F', 'G', 'H'], |sym|=3)
  R792: concat(16,23) = 1623 -> J=2,C=3,G=6,A=1
  R793: concat(16,24) = 1624 -> J=2,C=4,G=6,A=1
  R794: concat(16,25) = 1625 -> J=2,C=5,G=6,A=1
  R795: concat(16,27) = 1627 -> J=2,C=7,G=6,A=1
  R796: concat(16,28) = 1628 -> J=2,C=8,G=6,A=1
  R797: concat(16,29) = 1629 -> J=2,C=9,G=6,A=1
  R798: concat(16,30) = 1630 -> J=3,C=0,G=6,A=1
  R799: concat(16,32) = 1632 -> J=3,C=2,G=6,A=1
  R800: concat(16,34) = 1634 -> J=3,C=4,G=6,A=1
  R801: concat(16,35) = 1635 -> J=3,C=5,G=6,A=1
  R802: concat(16,37) = 1637 -> J=3,C=7,G=6,A=1
  R803: concat(16,38) = 1638 -> J=3,C=8,G=6,A=1
  R804: concat(16,39) = 1639 -> J=3,C=9,G=6,A=1
  R805: concat(16,40) = 1640 -> J=4,C=0,G=6,A=1
  R806: concat(16,42) = 1642 -> J=4,C=2,G=6,A=1
  R807: concat(16,43) = 1643 -> J=4,C=3,G=6,A=1
  R808: concat(16,45) = 1645 -> J=4,C=5,G=6,A=1
  R809: concat(16,47) = 1647 -> J=4,C=7,G=6,A=1
  R810: concat(16,48) = 1648 -> J=4,C=8,G=6,A=1
  R811: concat(16,49) = 1649 -> J=4,C=9,G=6,A=1
  R812: concat(16,50) = 1650 -> J=5,C=0,G=6,A=1
  R813: concat(16,52) = 1652 -> J=5,C=2,G=6,A=1
  R814: concat(16,53) = 1653 -> J=5,C=3,G=6,A=1
  R815: concat(16,54) = 1654 -> J=5,C=4,G=6,A=1
  R816: concat(16,57) = 1657 -> J=5,C=7,G=6,A=1
  R817: concat(16,58) = 1658 -> J=5,C=8,G=6,A=1
  R818: concat(16,59) = 1659 -> J=5,C=9,G=6,A=1
  R819: concat(16,70) = 1670 -> J=7,C=0,G=6,A=1
  R820: concat(16,72) = 1672 -> J=7,C=2,G=6,A=1
  R821: concat(16,73) = 1673 -> J=7,C=3,G=6,A=1
  R822: concat(16,74) = 1674 -> J=7,C=4,G=6,A=1
  R823: concat(16,75) = 1675 -> J=7,C=5,G=6,A=1
  R824: concat(16,78) = 1678 -> J=7,C=8,G=6,A=1
  R825: concat(16,79) = 1679 -> J=7,C=9,G=6,A=1
  R826: concat(16,80) = 1680 -> J=8,C=0,G=6,A=1
  R827: concat(16,82) = 1682 -> J=8,C=2,G=6,A=1
  R828: concat(16,83) = 1683 -> J=8,C=3,G=6,A=1
  R829: concat(16,84) = 1684 -> J=8,C=4,G=6,A=1
  R830: concat(16,85) = 1685 -> J=8,C=5,G=6,A=1
  R831: concat(16,87) = 1687 -> J=8,C=7,G=6,A=1
  R832: concat(16,89) = 1689 -> J=8,C=9,G=6,A=1
  R833: concat(16,90) = 1690 -> J=9,C=0,G=6,A=1
  R834: concat(16,92) = 1692 -> J=9,C=2,G=6,A=1
  R835: concat(16,93) = 1693 -> J=9,C=3,G=6,A=1
  R836: concat(16,94) = 1694 -> J=9,C=4,G=6,A=1
  R837: concat(16,95) = 1695 -> J=9,C=5,G=6,A=1
  R838: concat(16,97) = 1697 -> J=9,C=7,G=6,A=1
  R839: concat(16,98) = 1698 -> J=9,C=8,G=6,A=1
  R840: concat(17,02) = 1702 -> J=0,C=2,G=7,A=1
  R841: concat(17,03) = 1703 -> J=0,C=3,G=7,A=1
  R842: concat(17,04) = 1704 -> J=0,C=4,G=7,A=1
  R843: concat(17,05) = 1705 -> J=0,C=5,G=7,A=1
  R844: concat(17,06) = 1706 -> J=0,C=6,G=7,A=1
  R845: concat(17,08) = 1708 -> J=0,C=8,G=7,A=1
  R846: concat(17,09) = 1709 -> J=0,C=9,G=7,A=1
  R847: concat(17,20) = 1720 -> J=2,C=0,G=7,A=1
  R848: concat(17,23) = 1723 -> J=2,C=3,G=7,A=1
  R849: concat(17,24) = 1724 -> J=2,C=4,G=7,A=1
  R850: concat(17,25) = 1725 -> J=2,C=5,G=7,A=1
  R851: concat(17,26) = 1726 -> J=2,C=6,G=7,A=1
  R852: concat(17,28) = 1728 -> J=2,C=8,G=7,A=1
  R853: concat(17,29) = 1729 -> J=2,C=9,G=7,A=1
  R854: concat(17,30) = 1730 -> J=3,C=0,G=7,A=1
  R855: concat(17,32) = 1732 -> J=3,C=2,G=7,A=1
  R856: concat(17,34) = 1734 -> J=3,C=4,G=7,A=1
  R857: concat(17,35) = 1735 -> J=3,C=5,G=7,A=1
  R858: concat(17,36) = 1736 -> J=3,C=6,G=7,A=1
  R859: concat(17,38) = 1738 -> J=3,C=8,G=7,A=1
  R860: concat(17,39) = 1739 -> J=3,C=9,G=7,A=1
  R861: concat(17,40) = 1740 -> J=4,C=0,G=7,A=1
  R862: concat(17,42) = 1742 -> J=4,C=2,G=7,A=1
  R863: concat(17,43) = 1743 -> J=4,C=3,G=7,A=1
  R864: concat(17,45) = 1745 -> J=4,C=5,G=7,A=1
  R865: concat(17,46) = 1746 -> J=4,C=6,G=7,A=1
  R866: concat(17,48) = 1748 -> J=4,C=8,G=7,A=1
  R867: concat(17,49) = 1749 -> J=4,C=9,G=7,A=1
  R868: concat(17,50) = 1750 -> J=5,C=0,G=7,A=1
  R869: concat(17,52) = 1752 -> J=5,C=2,G=7,A=1
  R870: concat(17,53) = 1753 -> J=5,C=3,G=7,A=1
  R871: concat(17,54) = 1754 -> J=5,C=4,G=7,A=1
  R872: concat(17,56) = 1756 -> J=5,C=6,G=7,A=1
  R873: concat(17,58) = 1758 -> J=5,C=8,G=7,A=1
  R874: concat(17,59) = 1759 -> J=5,C=9,G=7,A=1
  R875: concat(17,60) = 1760 -> J=6,C=0,G=7,A=1
  R876: concat(17,62) = 1762 -> J=6,C=2,G=7,A=1
  R877: concat(17,63) = 1763 -> J=6,C=3,G=7,A=1
  R878: concat(17,64) = 1764 -> J=6,C=4,G=7,A=1
  R879: concat(17,65) = 1765 -> J=6,C=5,G=7,A=1
  R880: concat(17,68) = 1768 -> J=6,C=8,G=7,A=1
  R881: concat(17,69) = 1769 -> J=6,C=9,G=7,A=1
  R882: concat(17,80) = 1780 -> J=8,C=0,G=7,A=1
  R883: concat(17,82) = 1782 -> J=8,C=2,G=7,A=1
  R884: concat(17,83) = 1783 -> J=8,C=3,G=7,A=1
  R885: concat(17,84) = 1784 -> J=8,C=4,G=7,A=1
  R886: concat(17,85) = 1785 -> J=8,C=5,G=7,A=1
  R887: concat(17,86) = 1786 -> J=8,C=6,G=7,A=1
  R888: concat(17,89) = 1789 -> J=8,C=9,G=7,A=1
  R889: concat(17,90) = 1790 -> J=9,C=0,G=7,A=1
  R890: concat(17,92) = 1792 -> J=9,C=2,G=7,A=1
  R891: concat(17,93) = 1793 -> J=9,C=3,G=7,A=1
  R892: concat(17,94) = 1794 -> J=9,C=4,G=7,A=1
  R893: concat(17,95) = 1795 -> J=9,C=5,G=7,A=1
  R894: concat(17,96) = 1796 -> J=9,C=6,G=7,A=1
  R895: concat(17,98) = 1798 -> J=9,C=8,G=7,A=1
  R896: concat(18,02) = 1802 -> J=0,C=2,G=8,A=1
  R897: concat(18,03) = 1803 -> J=0,C=3,G=8,A=1
  R898: concat(18,04) = 1804 -> J=0,C=4,G=8,A=1
  R899: concat(18,05) = 1805 -> J=0,C=5,G=8,A=1
  R900: concat(18,06) = 1806 -> J=0,C=6,G=8,A=1
  R901: concat(18,07) = 1807 -> J=0,C=7,G=8,A=1
  R902: concat(18,09) = 1809 -> J=0,C=9,G=8,A=1
  R903: concat(18,20) = 1820 -> J=2,C=0,G=8,A=1
  R904: concat(18,23) = 1823 -> J=2,C=3,G=8,A=1
  R905: concat(18,24) = 1824 -> J=2,C=4,G=8,A=1
  R906: concat(18,25) = 1825 -> J=2,C=5,G=8,A=1
  R907: concat(18,26) = 1826 -> J=2,C=6,G=8,A=1
  R908: concat(18,27) = 1827 -> J=2,C=7,G=8,A=1
  R909: concat(18,29) = 1829 -> J=2,C=9,G=8,A=1
  R910: concat(18,30) = 1830 -> J=3,C=0,G=8,A=1
  R911: concat(18,32) = 1832 -> J=3,C=2,G=8,A=1
  R912: concat(18,34) = 1834 -> J=3,C=4,G=8,A=1
  R913: concat(18,35) = 1835 -> J=3,C=5,G=8,A=1
  R914: concat(18,36) = 1836 -> J=3,C=6,G=8,A=1
  R915: concat(18,37) = 1837 -> J=3,C=7,G=8,A=1
  R916: concat(18,39) = 1839 -> J=3,C=9,G=8,A=1
  R917: concat(18,40) = 1840 -> J=4,C=0,G=8,A=1
  R918: concat(18,42) = 1842 -> J=4,C=2,G=8,A=1
  R919: concat(18,43) = 1843 -> J=4,C=3,G=8,A=1
  R920: concat(18,45) = 1845 -> J=4,C=5,G=8,A=1
  R921: concat(18,46) = 1846 -> J=4,C=6,G=8,A=1
  R922: concat(18,47) = 1847 -> J=4,C=7,G=8,A=1
  R923: concat(18,49) = 1849 -> J=4,C=9,G=8,A=1
  R924: concat(18,50) = 1850 -> J=5,C=0,G=8,A=1
  R925: concat(18,52) = 1852 -> J=5,C=2,G=8,A=1
  R926: concat(18,53) = 1853 -> J=5,C=3,G=8,A=1
  R927: concat(18,54) = 1854 -> J=5,C=4,G=8,A=1
  R928: concat(18,56) = 1856 -> J=5,C=6,G=8,A=1
  R929: concat(18,57) = 1857 -> J=5,C=7,G=8,A=1
  R930: concat(18,59) = 1859 -> J=5,C=9,G=8,A=1
  R931: concat(18,60) = 1860 -> J=6,C=0,G=8,A=1
  R932: concat(18,62) = 1862 -> J=6,C=2,G=8,A=1
  R933: concat(18,63) = 1863 -> J=6,C=3,G=8,A=1
  R934: concat(18,64) = 1864 -> J=6,C=4,G=8,A=1
  R935: concat(18,65) = 1865 -> J=6,C=5,G=8,A=1
  R936: concat(18,67) = 1867 -> J=6,C=7,G=8,A=1
  R937: concat(18,69) = 1869 -> J=6,C=9,G=8,A=1
  R938: concat(18,70) = 1870 -> J=7,C=0,G=8,A=1
  R939: concat(18,72) = 1872 -> J=7,C=2,G=8,A=1
  R940: concat(18,73) = 1873 -> J=7,C=3,G=8,A=1
  R941: concat(18,74) = 1874 -> J=7,C=4,G=8,A=1
  R942: concat(18,75) = 1875 -> J=7,C=5,G=8,A=1
  R943: concat(18,76) = 1876 -> J=7,C=6,G=8,A=1
  R944: concat(18,79) = 1879 -> J=7,C=9,G=8,A=1
  R945: concat(18,90) = 1890 -> J=9,C=0,G=8,A=1
  R946: concat(18,92) = 1892 -> J=9,C=2,G=8,A=1
  R947: concat(18,93) = 1893 -> J=9,C=3,G=8,A=1
  R948: concat(18,94) = 1894 -> J=9,C=4,G=8,A=1
  R949: concat(18,95) = 1895 -> J=9,C=5,G=8,A=1
  R950: concat(18,96) = 1896 -> J=9,C=6,G=8,A=1
  R951: concat(18,97) = 1897 -> J=9,C=7,G=8,A=1
  R952: concat(19,02) = 1902 -> J=0,C=2,G=9,A=1
  R953: concat(19,03) = 1903 -> J=0,C=3,G=9,A=1
  R954: concat(19,04) = 1904 -> J=0,C=4,G=9,A=1
  R955: concat(19,05) = 1905 -> J=0,C=5,G=9,A=1
  R956: concat(19,06) = 1906 -> J=0,C=6,G=9,A=1
  R957: concat(19,07) = 1907 -> J=0,C=7,G=9,A=1
  R958: concat(19,08) = 1908 -> J=0,C=8,G=9,A=1
  R959: concat(19,20) = 1920 -> J=2,C=0,G=9,A=1
  R960: concat(19,23) = 1923 -> J=2,C=3,G=9,A=1
  R961: concat(19,24) = 1924 -> J=2,C=4,G=9,A=1
  R962: concat(19,25) = 1925 -> J=2,C=5,G=9,A=1
  R963: concat(19,26) = 1926 -> J=2,C=6,G=9,A=1
  R964: concat(19,27) = 1927 -> J=2,C=7,G=9,A=1
  R965: concat(19,28) = 1928 -> J=2,C=8,G=9,A=1
  R966: concat(19,30) = 1930 -> J=3,C=0,G=9,A=1
  R967: concat(19,32) = 1932 -> J=3,C=2,G=9,A=1
  R968: concat(19,34) = 1934 -> J=3,C=4,G=9,A=1
  R969: concat(19,35) = 1935 -> J=3,C=5,G=9,A=1
  R970: concat(19,36) = 1936 -> J=3,C=6,G=9,A=1
  R971: concat(19,37) = 1937 -> J=3,C=7,G=9,A=1
  R972: concat(19,38) = 1938 -> J=3,C=8,G=9,A=1
  R973: concat(19,40) = 1940 -> J=4,C=0,G=9,A=1
  R974: concat(19,42) = 1942 -> J=4,C=2,G=9,A=1
  R975: concat(19,43) = 1943 -> J=4,C=3,G=9,A=1
  R976: concat(19,45) = 1945 -> J=4,C=5,G=9,A=1
  R977: concat(19,46) = 1946 -> J=4,C=6,G=9,A=1
  R978: concat(19,47) = 1947 -> J=4,C=7,G=9,A=1
  R979: concat(19,48) = 1948 -> J=4,C=8,G=9,A=1
  R980: concat(19,50) = 1950 -> J=5,C=0,G=9,A=1
  R981: concat(19,52) = 1952 -> J=5,C=2,G=9,A=1
  R982: concat(19,53) = 1953 -> J=5,C=3,G=9,A=1
  R983: concat(19,54) = 1954 -> J=5,C=4,G=9,A=1
  R984: concat(19,56) = 1956 -> J=5,C=6,G=9,A=1
  R985: concat(19,57) = 1957 -> J=5,C=7,G=9,A=1
  R986: concat(19,58) = 1958 -> J=5,C=8,G=9,A=1
  R987: concat(19,60) = 1960 -> J=6,C=0,G=9,A=1
  R988: concat(19,62) = 1962 -> J=6,C=2,G=9,A=1
  R989: concat(19,63) = 1963 -> J=6,C=3,G=9,A=1
  R990: concat(19,64) = 1964 -> J=6,C=4,G=9,A=1
  R991: concat(19,65) = 1965 -> J=6,C=5,G=9,A=1
  R992: concat(19,67) = 1967 -> J=6,C=7,G=9,A=1
  R993: concat(19,68) = 1968 -> J=6,C=8,G=9,A=1
  R994: concat(19,70) = 1970 -> J=7,C=0,G=9,A=1
  R995: concat(19,72) = 1972 -> J=7,C=2,G=9,A=1
  R996: concat(19,73) = 1973 -> J=7,C=3,G=9,A=1
  R997: concat(19,74) = 1974 -> J=7,C=4,G=9,A=1
  R998: concat(19,75) = 1975 -> J=7,C=5,G=9,A=1
  R999: concat(19,76) = 1976 -> J=7,C=6,G=9,A=1
  R1000: concat(19,78) = 1978 -> J=7,C=8,G=9,A=1
  R1001: concat(19,80) = 1980 -> J=8,C=0,G=9,A=1
  R1002: concat(19,82) = 1982 -> J=8,C=2,G=9,A=1
  R1003: concat(19,83) = 1983 -> J=8,C=3,G=9,A=1
  R1004: concat(19,84) = 1984 -> J=8,C=4,G=9,A=1
  R1005: concat(19,85) = 1985 -> J=8,C=5,G=9,A=1
  R1006: concat(19,86) = 1986 -> J=8,C=6,G=9,A=1
  R1007: concat(19,87) = 1987 -> J=8,C=7,G=9,A=1
  R1008: concat(20,13) = 2013 -> J=1,C=3,G=0,A=2
  R1009: concat(20,14) = 2014 -> J=1,C=4,G=0,A=2
  R1010: concat(20,15) = 2015 -> J=1,C=5,G=0,A=2
  R1011: concat(20,16) = 2016 -> J=1,C=6,G=0,A=2
  R1012: concat(20,17) = 2017 -> J=1,C=7,G=0,A=2
  R1013: concat(20,18) = 2018 -> J=1,C=8,G=0,A=2
  R1014: concat(20,19) = 2019 -> J=1,C=9,G=0,A=2
  R1015: concat(20,31) = 2031 -> J=3,C=1,G=0,A=2
  R1016: concat(20,34) = 2034 -> J=3,C=4,G=0,A=2
  R1017: concat(20,35) = 2035 -> J=3,C=5,G=0,A=2
  R1018: concat(20,36) = 2036 -> J=3,C=6,G=0,A=2
  R1019: concat(20,37) = 2037 -> J=3,C=7,G=0,A=2
  R1020: concat(20,38) = 2038 -> J=3,C=8,G=0,A=2
  R1021: concat(20,39) = 2039 -> J=3,C=9,G=0,A=2
  R1022: concat(20,41) = 2041 -> J=4,C=1,G=0,A=2
  R1023: concat(20,43) = 2043 -> J=4,C=3,G=0,A=2
  R1024: concat(20,45) = 2045 -> J=4,C=5,G=0,A=2
  R1025: concat(20,46) = 2046 -> J=4,C=6,G=0,A=2
  R1026: concat(20,47) = 2047 -> J=4,C=7,G=0,A=2
  R1027: concat(20,48) = 2048 -> J=4,C=8,G=0,A=2
  R1028: concat(20,49) = 2049 -> J=4,C=9,G=0,A=2
  R1029: concat(20,51) = 2051 -> J=5,C=1,G=0,A=2
  R1030: concat(20,53) = 2053 -> J=5,C=3,G=0,A=2
  R1031: concat(20,54) = 2054 -> J=5,C=4,G=0,A=2
  R1032: concat(20,56) = 2056 -> J=5,C=6,G=0,A=2
  R1033: concat(20,57) = 2057 -> J=5,C=7,G=0,A=2
  R1034: concat(20,58) = 2058 -> J=5,C=8,G=0,A=2
  R1035: concat(20,59) = 2059 -> J=5,C=9,G=0,A=2
  R1036: concat(20,61) = 2061 -> J=6,C=1,G=0,A=2
  R1037: concat(20,63) = 2063 -> J=6,C=3,G=0,A=2
  R1038: concat(20,64) = 2064 -> J=6,C=4,G=0,A=2
  R1039: concat(20,65) = 2065 -> J=6,C=5,G=0,A=2
  R1040: concat(20,67) = 2067 -> J=6,C=7,G=0,A=2
  R1041: concat(20,68) = 2068 -> J=6,C=8,G=0,A=2
  R1042: concat(20,69) = 2069 -> J=6,C=9,G=0,A=2
  R1043: concat(20,71) = 2071 -> J=7,C=1,G=0,A=2
  R1044: concat(20,73) = 2073 -> J=7,C=3,G=0,A=2
  R1045: concat(20,74) = 2074 -> J=7,C=4,G=0,A=2
  R1046: concat(20,75) = 2075 -> J=7,C=5,G=0,A=2
  R1047: concat(20,76) = 2076 -> J=7,C=6,G=0,A=2
  R1048: concat(20,78) = 2078 -> J=7,C=8,G=0,A=2
  R1049: concat(20,79) = 2079 -> J=7,C=9,G=0,A=2
  R1050: concat(20,81) = 2081 -> J=8,C=1,G=0,A=2
  R1051: concat(20,83) = 2083 -> J=8,C=3,G=0,A=2
  R1052: concat(20,84) = 2084 -> J=8,C=4,G=0,A=2
  R1053: concat(20,85) = 2085 -> J=8,C=5,G=0,A=2
  R1054: concat(20,86) = 2086 -> J=8,C=6,G=0,A=2
  R1055: concat(20,87) = 2087 -> J=8,C=7,G=0,A=2
  R1056: concat(20,89) = 2089 -> J=8,C=9,G=0,A=2
  R1057: concat(20,91) = 2091 -> J=9,C=1,G=0,A=2
  R1058: concat(20,93) = 2093 -> J=9,C=3,G=0,A=2
  R1059: concat(20,94) = 2094 -> J=9,C=4,G=0,A=2
  R1060: concat(20,95) = 2095 -> J=9,C=5,G=0,A=2
  R1061: concat(20,96) = 2096 -> J=9,C=6,G=0,A=2
  R1062: concat(20,97) = 2097 -> J=9,C=7,G=0,A=2
  R1063: concat(20,98) = 2098 -> J=9,C=8,G=0,A=2
  R1064: concat(21,03) = 2103 -> J=0,C=3,G=1,A=2
  R1065: concat(21,04) = 2104 -> J=0,C=4,G=1,A=2
  R1066: concat(21,05) = 2105 -> J=0,C=5,G=1,A=2
  R1067: concat(21,06) = 2106 -> J=0,C=6,G=1,A=2
  R1068: concat(21,07) = 2107 -> J=0,C=7,G=1,A=2
  R1069: concat(21,08) = 2108 -> J=0,C=8,G=1,A=2
  R1070: concat(21,09) = 2109 -> J=0,C=9,G=1,A=2
  R1071: concat(21,30) = 2130 -> J=3,C=0,G=1,A=2
  R1072: concat(21,34) = 2134 -> J=3,C=4,G=1,A=2
  R1073: concat(21,35) = 2135 -> J=3,C=5,G=1,A=2
  R1074: concat(21,36) = 2136 -> J=3,C=6,G=1,A=2
  R1075: concat(21,37) = 2137 -> J=3,C=7,G=1,A=2
  R1076: concat(21,38) = 2138 -> J=3,C=8,G=1,A=2
  R1077: concat(21,39) = 2139 -> J=3,C=9,G=1,A=2
  R1078: concat(21,40) = 2140 -> J=4,C=0,G=1,A=2
  R1079: concat(21,43) = 2143 -> J=4,C=3,G=1,A=2
  R1080: concat(21,45) = 2145 -> J=4,C=5,G=1,A=2
  R1081: concat(21,46) = 2146 -> J=4,C=6,G=1,A=2
  R1082: concat(21,47) = 2147 -> J=4,C=7,G=1,A=2
  R1083: concat(21,48) = 2148 -> J=4,C=8,G=1,A=2
  R1084: concat(21,49) = 2149 -> J=4,C=9,G=1,A=2
  R1085: concat(21,50) = 2150 -> J=5,C=0,G=1,A=2
  R1086: concat(21,53) = 2153 -> J=5,C=3,G=1,A=2
  R1087: concat(21,54) = 2154 -> J=5,C=4,G=1,A=2
  R1088: concat(21,56) = 2156 -> J=5,C=6,G=1,A=2
  R1089: concat(21,57) = 2157 -> J=5,C=7,G=1,A=2
  R1090: concat(21,58) = 2158 -> J=5,C=8,G=1,A=2
  R1091: concat(21,59) = 2159 -> J=5,C=9,G=1,A=2
  R1092: concat(21,60) = 2160 -> J=6,C=0,G=1,A=2
  R1093: concat(21,63) = 2163 -> J=6,C=3,G=1,A=2
  R1094: concat(21,64) = 2164 -> J=6,C=4,G=1,A=2
  R1095: concat(21,65) = 2165 -> J=6,C=5,G=1,A=2
  R1096: concat(21,67) = 2167 -> J=6,C=7,G=1,A=2
  R1097: concat(21,68) = 2168 -> J=6,C=8,G=1,A=2
  R1098: concat(21,69) = 2169 -> J=6,C=9,G=1,A=2
  R1099: concat(21,70) = 2170 -> J=7,C=0,G=1,A=2
  R1100: concat(21,73) = 2173 -> J=7,C=3,G=1,A=2
  R1101: concat(21,74) = 2174 -> J=7,C=4,G=1,A=2
  R1102: concat(21,75) = 2175 -> J=7,C=5,G=1,A=2
  R1103: concat(21,76) = 2176 -> J=7,C=6,G=1,A=2
  R1104: concat(21,78) = 2178 -> J=7,C=8,G=1,A=2
  R1105: concat(21,79) = 2179 -> J=7,C=9,G=1,A=2
  R1106: concat(21,80) = 2180 -> J=8,C=0,G=1,A=2
  R1107: concat(21,83) = 2183 -> J=8,C=3,G=1,A=2
  R1108: concat(21,84) = 2184 -> J=8,C=4,G=1,A=2
  R1109: concat(21,85) = 2185 -> J=8,C=5,G=1,A=2
  R1110: concat(21,86) = 2186 -> J=8,C=6,G=1,A=2
  R1111: concat(21,87) = 2187 -> J=8,C=7,G=1,A=2
  R1112: concat(21,89) = 2189 -> J=8,C=9,G=1,A=2
  R1113: concat(21,90) = 2190 -> J=9,C=0,G=1,A=2
  R1114: concat(21,93) = 2193 -> J=9,C=3,G=1,A=2
  R1115: concat(21,94) = 2194 -> J=9,C=4,G=1,A=2
  R1116: concat(21,95) = 2195 -> J=9,C=5,G=1,A=2
  R1117: concat(21,96) = 2196 -> J=9,C=6,G=1,A=2
  R1118: concat(21,97) = 2197 -> J=9,C=7,G=1,A=2
  R1119: concat(21,98) = 2198 -> J=9,C=8,G=1,A=2
  R1120: concat(23,01) = 2301 -> J=0,C=1,G=3,A=2
  R1121: concat(23,04) = 2304 -> J=0,C=4,G=3,A=2
  R1122: concat(23,05) = 2305 -> J=0,C=5,G=3,A=2
  R1123: concat(23,06) = 2306 -> J=0,C=6,G=3,A=2
  R1124: concat(23,07) = 2307 -> J=0,C=7,G=3,A=2
  R1125: concat(23,08) = 2308 -> J=0,C=8,G=3,A=2
  R1126: concat(23,09) = 2309 -> J=0,C=9,G=3,A=2
  R1127: concat(23,10) = 2310 -> J=1,C=0,G=3,A=2
  R1128: concat(23,14) = 2314 -> J=1,C=4,G=3,A=2
  R1129: concat(23,15) = 2315 -> J=1,C=5,G=3,A=2
  R1130: concat(23,16) = 2316 -> J=1,C=6,G=3,A=2
  R1131: concat(23,17) = 2317 -> J=1,C=7,G=3,A=2
  R1132: concat(23,18) = 2318 -> J=1,C=8,G=3,A=2
  R1133: concat(23,19) = 2319 -> J=1,C=9,G=3,A=2
  R1134: concat(23,40) = 2340 -> J=4,C=0,G=3,A=2
  R1135: concat(23,41) = 2341 -> J=4,C=1,G=3,A=2
  R1136: concat(23,45) = 2345 -> J=4,C=5,G=3,A=2
  R1137: concat(23,46) = 2346 -> J=4,C=6,G=3,A=2
  R1138: concat(23,47) = 2347 -> J=4,C=7,G=3,A=2
  R1139: concat(23,48) = 2348 -> J=4,C=8,G=3,A=2
  R1140: concat(23,49) = 2349 -> J=4,C=9,G=3,A=2
  R1141: concat(23,50) = 2350 -> J=5,C=0,G=3,A=2
  R1142: concat(23,51) = 2351 -> J=5,C=1,G=3,A=2
  R1143: concat(23,54) = 2354 -> J=5,C=4,G=3,A=2
  R1144: concat(23,56) = 2356 -> J=5,C=6,G=3,A=2
  R1145: concat(23,57) = 2357 -> J=5,C=7,G=3,A=2
  R1146: concat(23,58) = 2358 -> J=5,C=8,G=3,A=2
  R1147: concat(23,59) = 2359 -> J=5,C=9,G=3,A=2
  R1148: concat(23,60) = 2360 -> J=6,C=0,G=3,A=2
  R1149: concat(23,61) = 2361 -> J=6,C=1,G=3,A=2
  R1150: concat(23,64) = 2364 -> J=6,C=4,G=3,A=2
  R1151: concat(23,65) = 2365 -> J=6,C=5,G=3,A=2
  R1152: concat(23,67) = 2367 -> J=6,C=7,G=3,A=2
  R1153: concat(23,68) = 2368 -> J=6,C=8,G=3,A=2
  R1154: concat(23,69) = 2369 -> J=6,C=9,G=3,A=2
  R1155: concat(23,70) = 2370 -> J=7,C=0,G=3,A=2
  R1156: concat(23,71) = 2371 -> J=7,C=1,G=3,A=2
  R1157: concat(23,74) = 2374 -> J=7,C=4,G=3,A=2
  R1158: concat(23,75) = 2375 -> J=7,C=5,G=3,A=2
  R1159: concat(23,76) = 2376 -> J=7,C=6,G=3,A=2
  R1160: concat(23,78) = 2378 -> J=7,C=8,G=3,A=2
  R1161: concat(23,79) = 2379 -> J=7,C=9,G=3,A=2
  R1162: concat(23,80) = 2380 -> J=8,C=0,G=3,A=2
  R1163: concat(23,81) = 2381 -> J=8,C=1,G=3,A=2
  R1164: concat(23,84) = 2384 -> J=8,C=4,G=3,A=2
  R1165: concat(23,85) = 2385 -> J=8,C=5,G=3,A=2
  R1166: concat(23,86) = 2386 -> J=8,C=6,G=3,A=2
  R1167: concat(23,87) = 2387 -> J=8,C=7,G=3,A=2
  R1168: concat(23,89) = 2389 -> J=8,C=9,G=3,A=2
  R1169: concat(23,90) = 2390 -> J=9,C=0,G=3,A=2
  R1170: concat(23,91) = 2391 -> J=9,C=1,G=3,A=2
  R1171: concat(23,94) = 2394 -> J=9,C=4,G=3,A=2
  R1172: concat(23,95) = 2395 -> J=9,C=5,G=3,A=2
  R1173: concat(23,96) = 2396 -> J=9,C=6,G=3,A=2
  R1174: concat(23,97) = 2397 -> J=9,C=7,G=3,A=2
  R1175: concat(23,98) = 2398 -> J=9,C=8,G=3,A=2
  R1176: concat(24,01) = 2401 -> J=0,C=1,G=4,A=2
  R1177: concat(24,03) = 2403 -> J=0,C=3,G=4,A=2
  R1178: concat(24,05) = 2405 -> J=0,C=5,G=4,A=2
  R1179: concat(24,06) = 2406 -> J=0,C=6,G=4,A=2
  R1180: concat(24,07) = 2407 -> J=0,C=7,G=4,A=2
  R1181: concat(24,08) = 2408 -> J=0,C=8,G=4,A=2
  R1182: concat(24,09) = 2409 -> J=0,C=9,G=4,A=2
  R1183: concat(24,10) = 2410 -> J=1,C=0,G=4,A=2
  R1184: concat(24,13) = 2413 -> J=1,C=3,G=4,A=2
  R1185: concat(24,15) = 2415 -> J=1,C=5,G=4,A=2
  R1186: concat(24,16) = 2416 -> J=1,C=6,G=4,A=2
  R1187: concat(24,17) = 2417 -> J=1,C=7,G=4,A=2
  R1188: concat(24,18) = 2418 -> J=1,C=8,G=4,A=2
  R1189: concat(24,19) = 2419 -> J=1,C=9,G=4,A=2
